"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.0376075686570118,0.00889461601187125,0.00973763745055377,0.0125747355308384,0.00654547333100293,0.00785433899326899,0.00730808581012125,0.00724933124811198,0.0114269126393707,0.00571840896862948
"2",0.00889461601187124,0.0402640374154299,0.00332563825190718,0.00661614693137403,0.0139314892141468,0.0121785526966868,0.010778093680219,0.00276786494155155,0.00537814214841863,0.00607623736309774
"3",0.00973763745055378,0.00332563825190718,0.0433832789689436,0.0156090549242989,0.0149769816938638,0.00869367272277335,0.00971681085204387,0.0124042906416706,0.0154243031612674,0.00481999907857354
"4",0.0125747355308384,0.00661614693137402,0.0156090549242989,0.0504152064274402,0.0165463232141685,0.0198312445241959,0.0124275440677909,0.00821631887868687,0.0112977036103413,0.00204135448068294
"5",0.00654547333100293,0.0139314892141468,0.0149769816938638,0.0165463232141685,0.0572084248410502,0.0168562227726206,0.00899116287864824,0.0111625914679367,0.0120431213121114,0.00398864902640101
"6",0.00785433899326899,0.0121785526966868,0.00869367272277334,0.0198312445241959,0.0168562227726206,0.0497424144605812,0.00979017886801074,0.00739308104093772,0.00296228129120697,-0.000496941563968733
"7",0.00730808581012127,0.010778093680219,0.00971681085204386,0.0124275440677909,0.00899116287864822,0.00979017886801074,0.0380324917780149,0.00545866486651118,0.00395495012370011,0.00990670210878243
"8",0.00724933124811198,0.00276786494155153,0.0124042906416705,0.00821631887868684,0.0111625914679367,0.00739308104093773,0.00545866486651118,0.04747016010405,0.0100611559911893,-0.00586968116918497
"9",0.0114269126393707,0.00537814214841863,0.0154243031612674,0.0112977036103413,0.0120431213121114,0.00296228129120697,0.00395495012370009,0.0100611559911893,0.048810461256648,0.00579242505581229
"10",0.00571840896862947,0.00607623736309774,0.00481999907857353,0.00204135448068295,0.00398864902640101,-0.000496941563968726,0.00990670210878243,-0.00586968116918498,0.00579242505581229,0.0380415900467934
